Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
United States,USA,2000,GDP,NY.GDP.MKTP.CD,1.0250952e+13
United States,USA,2001,GDP,NY.GDP.MKTP.CD,1.0581929e+13
United States,USA,2002,GDP,NY.GDP.MKTP.CD,1.0929108e+13
United States,USA,2003,GDP,NY.GDP.MKTP.CD,1.145645e+13
United States,USA,2004,GDP,NY.GDP.MKTP.CD,1.2217196e+13
United States,USA,2005,GDP,NY.GDP.MKTP.CD,1.3039197e+13
United States,USA,2006,GDP,NY.GDP.MKTP.CD,1.3815583e+13
United States,USA,2007,GDP,NY.GDP.MKTP.CD,1.4474228e+13
United States,USA,2008,GDP,NY.GDP.MKTP.CD,1.4769862e+13
United States,USA,2009,GDP,NY.GDP.MKTP.CD,1.4478067e+13
United States,USA,2010,GDP,NY.GDP.MKTP.CD,1.5048971e+13
United States,USA,2011,GDP,NY.GDP.MKTP.CD,1.5599732e+13
United States,USA,2012,GDP,NY.GDP.MKTP.CD,1.625397e+13
United States,USA,2013,GDP,NY.GDP.MKTP.CD,1.6880683e+13
United States,USA,2014,GDP,NY.GDP.MKTP.CD,1.7608138e+13
United States,USA,2015,GDP,NY.GDP.MKTP.CD,1.8295019e+13
United States,USA,2016,GDP,NY.GDP.MKTP.CD,1.8804913e+13
United States,USA,2017,GDP,NY.GDP.MKTP.CD,1.9612102e+13
United States,USA,2018,GDP,NY.GDP.MKTP.CD,2.0656516e+13
United States,USA,2019,GDP,NY.GDP.MKTP.CD,2.1539982e+13
United States,USA,2020,GDP,NY.GDP.MKTP.CD,2.1354105e+13
United States,USA,2000,Population,SP.POP.TOTL,282162411
United States,USA,2001,Population,SP.POP.TOTL,284968955
United States,USA,2002,Population,SP.POP.TOTL,287625193
United States,USA,2003,Population,SP.POP.TOTL,290107933
United States,USA,2004,Population,SP.POP.TOTL,292805298
United States,USA,2005,Population,SP.POP.TOTL,295516599
United States,USA,2006,Population,SP.POP.TOTL,298379912
United States,USA,2007,Population,SP.POP.TOTL,301231207
United States,USA,2008,Population,SP.POP.TOTL,304093966
United States,USA,2009,Population,SP.POP.TOTL,306771529
United States,USA,2010,Population,SP.POP.TOTL,309327143
United States,USA,2011,Population,SP.POP.TOTL,311583481
United States,USA,2012,Population,SP.POP.TOTL,313877662
United States,USA,2013,Population,SP.POP.TOTL,316059947
United States,USA,2014,Population,SP.POP.TOTL,318386329
United States,USA,2015,Population,SP.POP.TOTL,320738994
United States,USA,2016,Population,SP.POP.TOTL,323071755
United States,USA,2017,Population,SP.POP.TOTL,325122128
United States,USA,2018,Population,SP.POP.TOTL,326838199
United States,USA,2019,Population,SP.POP.TOTL,328329953
United States,USA,2020,Population,SP.POP.TOTL,331526933
United States,USA,2000,LifeExpect,EN.ATM.CO2E.PC,76.6365853658537
United States,USA,2001,LifeExpect,EN.ATM.CO2E.PC,76.8365853658537
United States,USA,2002,LifeExpect,EN.ATM.CO2E.PC,76.9365853658537
United States,USA,2003,LifeExpect,EN.ATM.CO2E.PC,77.0365853658537
United States,USA,2004,LifeExpect,EN.ATM.CO2E.PC,77.4878048780488
United States,USA,2005,LifeExpect,EN.ATM.CO2E.PC,77.4878048780488
United States,USA,2006,LifeExpect,EN.ATM.CO2E.PC,77.6878048780488
United States,USA,2007,LifeExpect,EN.ATM.CO2E.PC,77.9878048780488
United States,USA,2008,LifeExpect,EN.ATM.CO2E.PC,78.0390243902439
United States,USA,2009,LifeExpect,EN.ATM.CO2E.PC,78.390243902439
United States,USA,2010,LifeExpect,EN.ATM.CO2E.PC,78.5414634146342
United States,USA,2011,LifeExpect,EN.ATM.CO2E.PC,78.6414634146341
United States,USA,2012,LifeExpect,EN.ATM.CO2E.PC,78.7414634146342
United States,USA,2013,LifeExpect,EN.ATM.CO2E.PC,78.7414634146342
United States,USA,2014,LifeExpect,EN.ATM.CO2E.PC,78.8414634146341
United States,USA,2015,LifeExpect,EN.ATM.CO2E.PC,78.690243902439
United States,USA,2016,LifeExpect,EN.ATM.CO2E.PC,78.5390243902439
United States,USA,2017,LifeExpect,EN.ATM.CO2E.PC,78.5390243902439
United States,USA,2018,LifeExpect,EN.ATM.CO2E.PC,78.6390243902439
United States,USA,2019,LifeExpect,EN.ATM.CO2E.PC,78.7878048780488
United States,USA,2020,LifeExpect,EN.ATM.CO2E.PC,76.9804878048781
United States,USA,2000,PrimEnroll,SP.DYN.LE00.IN,
United States,USA,2001,PrimEnroll,SP.DYN.LE00.IN,
United States,USA,2002,PrimEnroll,SP.DYN.LE00.IN,
United States,USA,2003,PrimEnroll,SP.DYN.LE00.IN,
United States,USA,2004,PrimEnroll,SP.DYN.LE00.IN,
United States,USA,2005,PrimEnroll,SP.DYN.LE00.IN,101.8740234375
United States,USA,2006,PrimEnroll,SP.DYN.LE00.IN,
United States,USA,2007,PrimEnroll,SP.DYN.LE00.IN,
United States,USA,2008,PrimEnroll,SP.DYN.LE00.IN,
United States,USA,2009,PrimEnroll,SP.DYN.LE00.IN,
United States,USA,2010,PrimEnroll,SP.DYN.LE00.IN,
United States,USA,2011,PrimEnroll,SP.DYN.LE00.IN,
United States,USA,2012,PrimEnroll,SP.DYN.LE00.IN,
United States,USA,2013,PrimEnroll,SP.DYN.LE00.IN,99.455436706543
United States,USA,2014,PrimEnroll,SP.DYN.LE00.IN,99.6733779907227
United States,USA,2015,PrimEnroll,SP.DYN.LE00.IN,100.299911499023
United States,USA,2016,PrimEnroll,SP.DYN.LE00.IN,101.362861633301
United States,USA,2017,PrimEnroll,SP.DYN.LE00.IN,101.821441650391
United States,USA,2018,PrimEnroll,SP.DYN.LE00.IN,101.256561279297
United States,USA,2019,PrimEnroll,SP.DYN.LE00.IN,100.981300354004
United States,USA,2020,PrimEnroll,SP.DYN.LE00.IN,100.305793762207
United States,USA,2000,Poverty_head,SE.PRM.ENRR,0.7
United States,USA,2001,Poverty_head,SE.PRM.ENRR,1
United States,USA,2002,Poverty_head,SE.PRM.ENRR,1
United States,USA,2003,Poverty_head,SE.PRM.ENRR,1
United States,USA,2004,Poverty_head,SE.PRM.ENRR,1
United States,USA,2005,Poverty_head,SE.PRM.ENRR,1
United States,USA,2006,Poverty_head,SE.PRM.ENRR,1
United States,USA,2007,Poverty_head,SE.PRM.ENRR,1
United States,USA,2008,Poverty_head,SE.PRM.ENRR,1
United States,USA,2009,Poverty_head,SE.PRM.ENRR,1
United States,USA,2010,Poverty_head,SE.PRM.ENRR,1.2
United States,USA,2011,Poverty_head,SE.PRM.ENRR,1
United States,USA,2012,Poverty_head,SE.PRM.ENRR,1
United States,USA,2013,Poverty_head,SE.PRM.ENRR,1
United States,USA,2014,Poverty_head,SE.PRM.ENRR,1.2
United States,USA,2015,Poverty_head,SE.PRM.ENRR,1.2
United States,USA,2016,Poverty_head,SE.PRM.ENRR,1.2
United States,USA,2017,Poverty_head,SE.PRM.ENRR,1.2
United States,USA,2018,Poverty_head,SE.PRM.ENRR,1
United States,USA,2019,Poverty_head,SE.PRM.ENRR,1
United States,USA,2020,Poverty_head,SE.PRM.ENRR,0.5
United States,USA,2000,ElecAccess,SI.POV.DDAY,100
United States,USA,2001,ElecAccess,SI.POV.DDAY,100
United States,USA,2002,ElecAccess,SI.POV.DDAY,100
United States,USA,2003,ElecAccess,SI.POV.DDAY,100
United States,USA,2004,ElecAccess,SI.POV.DDAY,100
United States,USA,2005,ElecAccess,SI.POV.DDAY,100
United States,USA,2006,ElecAccess,SI.POV.DDAY,100
United States,USA,2007,ElecAccess,SI.POV.DDAY,100
United States,USA,2008,ElecAccess,SI.POV.DDAY,100
United States,USA,2009,ElecAccess,SI.POV.DDAY,100
United States,USA,2010,ElecAccess,SI.POV.DDAY,100
United States,USA,2011,ElecAccess,SI.POV.DDAY,100
United States,USA,2012,ElecAccess,SI.POV.DDAY,100
United States,USA,2013,ElecAccess,SI.POV.DDAY,100
United States,USA,2014,ElecAccess,SI.POV.DDAY,100
United States,USA,2015,ElecAccess,SI.POV.DDAY,100
United States,USA,2016,ElecAccess,SI.POV.DDAY,100
United States,USA,2017,ElecAccess,SI.POV.DDAY,100
United States,USA,2018,ElecAccess,SI.POV.DDAY,100
United States,USA,2019,ElecAccess,SI.POV.DDAY,100
United States,USA,2020,ElecAccess,SI.POV.DDAY,100
